amount,hour_of_day,is_night,is_cross_border,amount_vs_customer_p95,txn_count_1h,txn_count_24h,is_new_device,device_age_days,customer_device_count_so_far,merchant_fraud_rate_hist,is_new_country_for_customer,ip_country_mismatch,payment_method_bank_transfer,payment_method_card,payment_method_wallet
34.26,16,0,0,0.10601149508076492,0,0,0,42.12659859530001,1,0.0,0,0,False,True,False
235.3,9,0,0,0.3970523957344247,0,0,0,362.02454235750326,2,0.02158273381294964,0,0,False,True,False
12.9,7,0,0,1.0,0,0,0,1.9456364465667475,1,0.006771053745239103,0,0,False,False,True
89.44,12,0,0,1.0,0,0,0,25.66706395633751,1,0.014843295927035365,0,0,False,False,True
35.12,23,0,0,0.6674204793299098,0,0,0,146.1739505840172,2,0.007874015748031496,0,0,False,True,False
10.33,11,0,0,0.061624916859307176,0,0,0,354.1699745737475,1,0.007352941176470588,0,0,True,False,False
8.58,5,0,0,1.0,0,0,1,0.0,0,0.010570824524312896,1,0,False,False,True
93.29,19,0,0,0.5434010150199742,0,0,0,315.92606235301673,1,0.00625,0,0,False,True,False
38.52,20,0,0,1.0,0,0,0,63.52993018332679,1,0.030303030303030304,0,0,False,True,False
27.77,20,0,1,0.20950584526966565,0,0,0,283.8103744476955,1,0.009009009009009009,1,0,False,True,False
61.77,8,0,0,1.0,0,0,0,32.51579947082355,1,0.09523809523809523,0,0,False,True,False
12.34,21,0,0,0.1295198097137779,0,0,0,125.17351797437537,2,0.0,0,0,False,False,True
14.01,8,0,0,0.344424905180512,0,0,0,114.31158857113856,1,0.01818181818181818,0,1,False,True,False
42.46,22,0,0,0.6467237236615634,0,0,0,245.63294060331197,3,0.0,0,0,False,True,False
113.55,22,0,1,0.9373761644979514,0,0,0,40.6851867854906,2,0.015023316857948676,1,0,False,False,True
30.24,21,0,0,1.0,0,0,0,144.5483984951053,1,0.037037037037037035,0,0,False,False,True
189.18,15,0,0,2.0411069532167345,0,0,0,302.6668377177472,1,0.014285714285714285,0,0,False,True,False
36.74,22,0,0,0.21109725636137489,0,0,0,120.87668600004675,1,0.0,0,0,False,True,False
34.67,15,0,0,0.1268242179502755,0,0,0,363.1040133416067,2,0.018867924528301886,0,0,False,True,False
67.24,12,0,0,1.0,0,0,1,0.0,0,0.0032768978700163844,1,0,False,True,False
37.51,22,0,0,1.3070596798710827,0,0,0,94.91824358027213,2,0.0,0,0,False,True,False
56.44,6,0,0,0.7022957667853449,0,0,0,137.14226177176468,1,0.0,0,0,False,False,True
48.2,10,0,0,0.30581815680592506,0,0,0,254.80180107808408,1,0.022222222222222223,0,0,False,False,True
74.69,3,1,0,1.0400478870408572,0,0,0,140.65690735404098,1,0.043478260869565216,0,0,False,False,True
9.04,14,0,0,1.0,0,0,0,33.3443996260964,1,0.015226351466430494,0,0,False,True,False
51.64,0,0,0,0.8289589721653589,0,0,0,258.21936351663345,1,0.0,0,0,False,True,False
13.23,11,0,0,0.18036809570050316,0,0,0,135.84821592785255,1,0.04477611940298507,0,0,False,True,False
4.84,17,0,0,0.13635915039346522,0,0,0,236.5813696276074,2,0.0,0,0,False,True,False
30.03,13,0,0,1.0,0,0,0,66.06520252917643,1,0.0,0,0,False,True,False
12.52,8,0,0,0.6228545533627902,0,0,0,143.97008470341314,1,0.0,0,0,False,True,False
146.42,6,0,0,1.0,0,0,1,0.0,0,0.008375451263537906,1,0,False,True,False
131.5,12,0,0,0.43082547986808056,0,0,0,262.2249049707398,2,0.020618556701030927,0,0,False,True,False
68.13,22,0,1,0.835335938752625,0,0,0,362.31860132935174,1,0.5695364238410596,1,0,True,False,False
58.12,20,0,0,0.39059664517939324,0,0,0,143.76095658658298,1,0.0,0,0,False,True,False
19.1,4,1,0,0.36759752174603955,0,0,0,329.51403902782766,2,0.0,0,0,False,True,False
31.11,10,0,0,0.6900452335630106,0,0,0,318.9131019234946,1,0.02877697841726619,0,0,False,True,False
47.53,0,0,0,0.027960270868162433,0,0,0,352.3307293508074,1,0.007462686567164179,0,0,False,True,False
36.87,19,0,0,0.23010456601788942,0,0,0,125.42819338242472,1,0.0,0,0,False,True,False
33.35,6,0,0,0.2342175292036778,0,0,0,143.59710391929866,2,0.010309278350515464,0,0,False,False,True
18.98,23,0,0,0.14998616974209833,0,0,0,178.06708074892398,1,0.0,0,0,False,True,False
80.22,12,0,0,0.9038109353709718,0,0,0,310.26730394277735,1,0.02459016393442623,0,0,True,False,False
77.9,6,0,0,1.0,0,0,0,45.44133449256623,1,0.029411764705882353,0,0,False,False,True
23.26,18,0,0,0.1758132103612395,0,0,0,227.67855959299123,1,0.024691358024691357,0,0,False,True,False
22.25,5,0,0,0.3128471152986163,0,0,0,233.1094167409109,1,0.00819672131147541,0,0,False,False,True
46.87,6,0,0,0.31669774644789217,0,0,0,99.03267219793658,3,0.0,0,0,False,True,False
40.12,10,0,0,0.07677587248014418,0,0,0,123.74445244813394,2,0.0,0,0,False,True,False
61.86,0,0,0,0.5664731363301667,0,0,0,315.3795950376361,1,0.013071895424836602,0,0,False,True,False
38.43,18,0,0,0.3535662501684454,0,0,0,244.32982572835482,1,0.037383177570093455,0,0,False,True,False
20.0,18,0,0,1.0,0,0,1,0.0,0,0.0,1,0,False,True,False
43.23,18,0,0,0.592760172867679,0,0,0,88.67791717051195,1,0.0,0,0,False,True,False
853.89,0,0,0,2.7588669006118853,0,0,0,278.2311495516132,2,0.0,0,0,False,True,False
42.98,20,0,0,0.04177089950126547,0,0,0,40.34130376748738,1,0.0,0,0,False,False,True
53.22,23,0,0,0.6963689800933075,0,1,0,236.54245814599145,1,0.05434782608695652,0,0,False,True,False
92.12,4,1,0,1.0,0,1,0,19.229732545516818,1,0.0,0,0,False,True,False
34.87,1,1,0,0.14532618102913542,0,0,0,336.12079539488684,1,0.007042253521126761,0,1,False,True,False
16.61,12,0,0,0.2925428811768135,0,1,0,255.67256022355605,1,0.008547008547008548,0,0,False,False,True
208.71,2,1,0,1.0,0,0,0,3.405541147771528,2,0.01008249312557287,0,0,False,True,False
27.17,10,0,0,0.3703728897077659,0,0,0,336.7225497956242,1,0.006711409395973154,0,0,False,True,False
